dataset,width,height,psnr,ssim
UIEB,800,450,12.892126829512396,0.7123512903175825
UIEB,640,360,17.665436876507083,0.7926933466059797
UIEB,640,360,16.33009045031122,0.8102526972352293
UIEB,550,363,17.785375211972443,0.9319845369546315
UIEB,750,562,14.356259039095168,0.8020789703146796
UIEB,1000,750,20.504596769250604,0.870914999598987
UIEB,485,366,12.487181133248113,0.6837166600056858
UIEB,440,300,16.70728160553977,0.8375663634315959
UIEB,550,370,15.845499871419332,0.6791985631886618
UIEB,700,496,18.162334046644247,0.958387701765043
UIEB,640,360,17.041657348603287,0.7262889366056431
UIEB,640,360,14.370564838069559,0.7194740252407675
UIEB,1200,850,12.903048835914293,0.6570672287323494
UIEB,1280,803,10.184585475712089,0.4950405169094467
UIEB,640,360,17.671796310392452,0.805173664496497
UIEB,640,360,16.86239696449552,0.8362048644251989
UIEB,500,248,12.60736395029805,0.6605862653615425
UIEB,2000,1450,16.625565813588523,0.7363071962071088
UIEB,640,360,19.61927550799478,0.8451352519940777
UIEB,640,360,19.585293259773437,0.8477639756734362
UIEB,1280,853,17.954190672800905,0.7021089901326939
UIEB,1024,576,13.953537014133037,0.6889174161058431
UIEB,1200,747,20.90700130851726,0.8139375779938804
UIEB,1024,709,17.990009729787108,0.8939481039505829
UIEB,640,480,16.621570769347823,0.6916456413731565
UIEB,640,480,15.285878622986102,0.7580370979564499
UIEB,1280,798,28.264925107286793,0.9757984210622479
UIEB,640,480,14.451734643568251,0.5729494708370351
UIEB,900,600,19.019832635018332,0.928831345519129
UIEB,1280,720,19.467482623054433,0.9198861092294269
UIEB,1280,720,8.395291738531066,0.30230420520733103
UIEB,1280,720,10.181989139743584,0.5211093666979482
UIEB,640,480,16.480222491167414,0.7703266530862211
UIEB,1280,720,10.188179545400988,0.49316537432707247
UIEB,1280,720,12.352018484748044,0.6935685374764748
UIEB,1280,720,9.277361848298613,0.41022070009051514
UIEB,640,480,14.190832078659152,0.6549753970890458
UIEB,1280,720,13.230332073585668,0.8222330434819539
UIEB,1280,720,17.42089993219277,0.7911148958430764
UIEB,1280,670,16.9008857992963,0.8191455668945782
UIEB,640,480,15.12881704991463,0.7348305045146047
UIEB,640,480,15.17752687535269,0.6793241377847149
UIEB,1280,720,15.987069652155792,0.7597516443434152
UIEB,1200,850,10.783060566511223,0.5861195333555486
UIEB,640,480,16.263517180467037,0.5863420421712092
UIEB,640,480,15.243971829509738,0.5780776767348632
UIEB,640,480,13.696275560841553,0.5656752391438712
UIEB,640,480,15.323842397678355,0.7331868658466097
UIEB,650,365,17.44309273572998,0.7967733688871445
UIEB,640,480,13.860244863295225,0.6228697550107419
UIEB,640,480,15.873035382884414,0.7487008711112925
UIEB,1200,850,9.089386993510894,0.5994206180189038
UIEB,980,615,16.936523274297777,0.7333679741486653
UIEB,1280,720,19.576195663819306,0.8888612168515976
UIEB,1200,751,17.120573867435343,0.7138598555260521
UIEB,640,480,14.545859219343669,0.6635110824321946
UIEB,794,481,9.033815320125935,0.5800378978215426
UIEB,1200,850,14.407423847969838,0.7007846320834235
UIEB,640,480,14.519380338941907,0.7513584903618845
UIEB,640,480,19.503714239670305,0.852532372275964
UIEB,640,480,10.686294300357384,0.4592964872168899
UIEB,640,480,13.873193961978094,0.6075534124475097
UIEB,1280,720,13.60725356873553,0.6979259649228099
UIEB,287,409,15.069986905445557,0.8282016146858623
UIEB,1280,803,18.151031407729935,0.781966924340192
UIEB,1280,720,20.322274407892465,0.7695398508030854
UIEB,1280,720,20.125487644440923,0.8143776146270634
UIEB,1280,720,17.446286692117226,0.827517904089485
UIEB,1280,720,15.611892876972345,0.7736921306836213
UIEB,640,480,15.992341676885204,0.745126229292392
UIEB,1280,720,14.539221972029463,0.6160399856674496
UIEB,1280,720,14.623529285224722,0.7556280445470532
UIEB,640,480,18.20434790393492,0.7935025689145528
UIEB,500,379,13.981180021761828,0.8677737810203293
UIEB,1280,720,15.707706000202652,0.8095382685083109
UIEB,640,480,21.67109605852675,0.8358864404800164
UIEB,1280,720,12.548037047068586,0.5637318949204395
UIEB,1280,720,16.86808252086173,0.8204441219342132
UIEB,640,480,13.898595627625419,0.612632755464305
UIEB,1280,720,18.82201181360533,0.8733683256045796
UIEB,660,478,22.03482878228232,0.9435773360925784
UIEB,640,480,15.67027625795945,0.6822995378827995
UIEB,1280,720,14.856976036225952,0.6840096726695214
UIEB,1280,720,16.869963554315706,0.8623576315792677
UIEB,640,480,17.41749387681445,0.7686408763394089
UIEB,640,480,15.798602607902081,0.6723936440722961
UIEB,640,480,14.205558697783935,0.5898044935665548
UIEB,800,521,20.930716411024118,0.8024379569323354
UIEB,800,1150,12.5686153200252,0.5243160626410068
UIEB,640,480,17.6019453823327,0.7661657972844028
UIEB,640,480,18.174246459334334,0.7838945435218184
UIEB,640,480,19.353560980436583,0.8312628738707747
UIEB,640,480,15.082957627147962,0.6307909933783367
